Nivel_1,t_stamp,nombre_sitio,fecha_hora
3.4,2025-08-07 08:52:17,tanque_alcaldes,2025-08-07 08:52:17
3.4,2025-08-07 08:55:17,tanque_alcaldes,2025-08-07 08:55:17
3.4,2025-08-07 08:58:17,tanque_alcaldes,2025-08-07 08:58:17
3.4,2025-08-07 09:01:17,tanque_alcaldes,2025-08-07 09:01:17
3.4,2025-08-07 09:04:17,tanque_alcaldes,2025-08-07 09:04:17
3.4,2025-08-07 09:07:17,tanque_alcaldes,2025-08-07 09:07:17
3.4,2025-08-07 09:10:17,tanque_alcaldes,2025-08-07 09:10:17
3.4,2025-08-07 09:13:17,tanque_alcaldes,2025-08-07 09:13:17
3.4,2025-08-07 09:16:17,tanque_alcaldes,2025-08-07 09:16:17
3.4,2025-08-07 09:19:17,tanque_alcaldes,2025-08-07 09:19:17
3.4,2025-08-07 09:22:17,tanque_alcaldes,2025-08-07 09:22:17
3.4,2025-08-07 09:25:17,tanque_alcaldes,2025-08-07 09:25:17
3.4,2025-08-07 09:28:17,tanque_alcaldes,2025-08-07 09:28:17
3.4,2025-08-07 09:31:17,tanque_alcaldes,2025-08-07 09:31:17
3.4,2025-08-07 09:34:17,tanque_alcaldes,2025-08-07 09:34:17
3.4,2025-08-07 09:37:17,tanque_alcaldes,2025-08-07 09:37:17
3.4,2025-08-07 09:40:17,tanque_alcaldes,2025-08-07 09:40:17
3.4,2025-08-07 09:43:17,tanque_alcaldes,2025-08-07 09:43:17
3.4,2025-08-07 09:46:17,tanque_alcaldes,2025-08-07 09:46:17
3.4,2025-08-07 09:49:17,tanque_alcaldes,2025-08-07 09:49:17
3.4,2025-08-07 09:52:17,tanque_alcaldes,2025-08-07 09:52:17
3.4,2025-08-07 09:55:17,tanque_alcaldes,2025-08-07 09:55:17
3.4,2025-08-07 09:58:17,tanque_alcaldes,2025-08-07 09:58:17
3.4,2025-08-07 10:01:17,tanque_alcaldes,2025-08-07 10:01:17
3.4,2025-08-07 10:04:17,tanque_alcaldes,2025-08-07 10:04:17
3.4,2025-08-07 10:07:17,tanque_alcaldes,2025-08-07 10:07:17
3.4,2025-08-07 10:10:17,tanque_alcaldes,2025-08-07 10:10:17
3.4,2025-08-07 10:13:17,tanque_alcaldes,2025-08-07 10:13:17
3.4,2025-08-07 10:16:17,tanque_alcaldes,2025-08-07 10:16:17
3.4,2025-08-07 10:19:17,tanque_alcaldes,2025-08-07 10:19:17
3.4,2025-08-07 10:22:17,tanque_alcaldes,2025-08-07 10:22:17
3.4,2025-08-07 10:25:17,tanque_alcaldes,2025-08-07 10:25:17
3.4,2025-08-07 10:28:17,tanque_alcaldes,2025-08-07 10:28:17
3.4,2025-08-07 10:31:17,tanque_alcaldes,2025-08-07 10:31:17
3.4,2025-08-07 10:34:17,tanque_alcaldes,2025-08-07 10:34:17
3.4,2025-08-07 10:37:17,tanque_alcaldes,2025-08-07 10:37:17
3.4,2025-08-07 10:40:17,tanque_alcaldes,2025-08-07 10:40:17
3.4,2025-08-07 10:43:17,tanque_alcaldes,2025-08-07 10:43:17
3.4,2025-08-07 10:46:17,tanque_alcaldes,2025-08-07 10:46:17
3.4,2025-08-07 10:49:17,tanque_alcaldes,2025-08-07 10:49:17
3.4,2025-08-07 10:52:17,tanque_alcaldes,2025-08-07 10:52:17
3.4,2025-08-07 10:55:17,tanque_alcaldes,2025-08-07 10:55:17
3.4,2025-08-07 10:58:17,tanque_alcaldes,2025-08-07 10:58:17
3.4,2025-08-07 11:01:17,tanque_alcaldes,2025-08-07 11:01:17
3.4,2025-08-07 11:04:17,tanque_alcaldes,2025-08-07 11:04:17
3.4,2025-08-07 11:07:17,tanque_alcaldes,2025-08-07 11:07:17
3.4,2025-08-07 11:10:17,tanque_alcaldes,2025-08-07 11:10:17
3.4,2025-08-07 11:13:17,tanque_alcaldes,2025-08-07 11:13:17
3.4,2025-08-07 11:16:17,tanque_alcaldes,2025-08-07 11:16:17
